id,FalseSent,TrueSent,ref1,ref2,ref3,OptionA,OptionB,OptionC,label
114,No one uses pens to write with.,People write with pens.,Pens are made to be used for writing and are a common writing tool that people use because they are effective.,Everyone uses pens,Pens are a writing implement used by many people.,You cannot write with anything else other than pens.,You are praised for using pens to write with rather than anything else.,Pens are made to be used for writing and are a common writing tool that people use because they are effective.,2
115,The whale swims in a bathtub.,The whale swims in the ocean.,The whale is much larger than a bathtub.,Whales are big animals and can't fit in bathtubs.,Standard bath tubs could not hold a whale.,The whale is much larger than a bathtub.,The whales are usually gray while the tubs are usually white.,The bathtub cannot swim in the whale.,0
116,A boxer would never punch in a boxing match.,A boxer is likely to throw a punch in a boxing match.,A boxer needs to punch in a boxing match to score points and win. A referee makes them punch.,If you don't punch in a boxing match you cannot claim to be a boxer,A boxing match is all about boxing.,Boxers will be arrested if they punch someone.,Boxers are very nice people and hate all types of violence.,A boxer needs to punch in a boxing match to score points and win. A referee makes them punch.,2
117,There was a person drinking sulfuric acid.,There was a person drinking water.,People do not drink sulfuric acid because it would kill them.,Sulfuric acid is not edible.,Sulfuric acid would kill a person so usually people do not drink it.,People do not drink sulfuric acid because it would kill them.,Sulfuric acid does not quench thirst.,A person would not drink sulfuric acid because it tastes bitter.,0
118,She drank a cup of tires.,She drank a cup of tea.,Tires cannot be drunk.,tires don't fit in a cup,Humans cannot drink tires.,"Tires are made of rubber, cups are made of glass.",Cups cannot drive tires.,Tires cannot be drunk.,2
119,He was changing tv channels with screwdriver,He was changing tv channels with remote,Screwdriver is a passive mechanical tool,Screwdrivers cannot control a tv.,A screwdriver does not control a television,Screwdriver's battery drained up,Screwdriver is a passive mechanical tool,He did not have screwdriver at home,1
120,The giraffe swam through the ocean,The whale swam through the ocean,The whale can swim much better than a giraffe,Giraffes live on land.,Giraffes are land animals and do not swim in oceans,The whale is much larger than a giraffe,The whale not walk as well as a giraffe,The whale can swim much better than a giraffe,2
121,He moved a city to his belongings,He moved his belongings to a new city,A city is too big to fit into whatever belongings the person has.,Cities are not mobile-and have affixed infrastructures that cannot be transported from place to place.,A city is a place and can't be moved.,Belongings can get quite numerous while a city can be only one entity.,A city is too big to fit into whatever belongings the person has.,There are plenty of options of places to go in a city,1
122,he put the ice cream in the closet,He put the ice cream in the freezer,ice cream would easily melt in a closet,The ice cream would melt in the closet so it is very unlikely that he put it there.,ice cream would melt in the closet,ice cream is usually liquid while closets are solid,an ice cream cannot feed a closet,ice cream would easily melt in a closet,2
123,The people were full of planes,The plane was full of people,Planes are much bigger than people,"People cannot be full of planes, but a plane can be full of people",Planes are larger than people.,Planes are much bigger than people,planes can fly while people cannot,people cannot eat planes,0
124,She went to the shop to buy hands,She went to the shop to buy bread,You can't buy hands from a shop.,You cannot buy hands at stores or shops.,Hands can't be bought in a store.,You can't buy hands from a shop.,You can't eat a hand.,Hands won't fit in a shopping basket.,0
125,He took the curb to the trash.,He took the trash out to the curb.,You can't take a curb from it's spot.,the curb is much heavier to take,A curb is a place.,Curbs are usually where you put the trash.,You can't take a curb from it's spot.,Curbs are where waste management receives all trash.,1
126,Alice lit a rock at night,Alice lit a candle at night,Rocks cannot be lit easily,Rocks don't catch fire.,Alice cannot light a rock,Candle and rock cannot be seen at night,Rock and candle have got the same size,Rocks cannot be lit easily,2
127,She flew on a pizza.,She delivered a pizza.,Pizzas do not have engines to be flown.,Pizzas do not fly.,She flew on a plane,Pizzas have many different toppings,Pizza toppings would stick to your butt if you sat on them.,Pizzas do not have engines to be flown.,2
128,A musician can perform a surgery,A musician can play an instrument,only a qualified surgeon can perform a surgery,"If a person is a musician, that does not mean they are able to perform surgery",Musicians are trained in the specialty of music not surgery,both musicians and surgeries involve instruments,some musicians have surgeries performed on them,only a qualified surgeon can perform a surgery,2
129,She brushed her teeth with a truck.,She brushed her teeth with a brush.,A truck is bigger than a tooth.,A truck will not clean teeth.,A person does not brush their teeth with a truck,Trucks are usually black while the teeth are white.,A truck is bigger than a tooth.,A truck cannot brush its teeth.,1
130,The house entered the man,The man entered the house,the house is bigger than the man,A house is too big to enter a man,"A house is an object so it cannot enter anything, especially a man.",the house is bigger than the man,the house is not the man,the house will not eat in the man,0
131,He put a whale on the shelf.,He put an orange on the shelf,A whale is too large to fit on a shelf.,Whales are way too big for any shelf to fit on.,Whale is biger then the shelf.,A whale is white while the shelf is brown.,A whale is too large to fit on a shelf.,A whale cannot smell a shelf.,1
132,Jill ate the wizard in her book.,Jill wrote a book about wizards.,You cannot eat wizards.,"If the wizard is in the book, then it is imaginary and cannot be eaten",Wizards can protect themselves from being eaten.,Wizards are too large to be eaten by humans.,Book wizards are not edible like regular wizards.,You cannot eat wizards.,2
133,He travels by a laptop to reach the office.,He travels by a bus to reach the office.,Laptop is not a vehicle which can be driven.,He uses a laptop at the office,laptops do not provide physical transportation,Laptop needs drivers to run the software.,Laptop is not a vehicle which can be driven.,Driving simulation can be shown on the laptop.,1
